iter	Passed	Remaining
0	2	285
1	5	261
2	7	242
3	9	227
4	12	241
5	15	238
6	17	228
7	19	222
8	21	219
9	23	214
10	25	210
11	28	210
12	31	208
13	33	205
14	35	201
15	37	199
16	40	198
17	42	195
18	45	193
19	47	190
20	49	186
21	52	184
22	54	182
23	56	178
24	58	176
25	61	174
26	63	171
27	65	168
28	68	166
29	70	164
30	72	161
31	74	159
32	77	156
33	79	154
34	81	152
35	84	149
36	86	147
37	88	144
38	90	142
39	93	140
40	95	137
41	97	135
42	100	133
43	102	130
44	105	128
45	107	126
46	110	124
47	113	122
48	115	120
49	118	118
50	120	115
51	122	113
52	125	111
53	127	108
54	129	106
55	132	103
56	134	101
57	136	98
58	138	96
59	141	94
60	144	92
61	146	89
62	149	87
63	151	85
64	153	82
65	156	80
66	158	78
67	161	75
68	163	73
69	165	70
70	167	68
71	169	66
72	172	63
73	175	61
74	177	59
75	180	56
76	182	54
77	184	52
78	186	49
79	189	47
80	192	45
81	194	42
82	196	40
83	199	37
84	201	35
85	203	33
86	206	30
87	208	28
88	210	26
89	212	23
90	215	21
91	217	18
92	219	16
93	222	14
94	224	11
95	226	9
96	229	7
97	231	4
98	233	2
99	236	0
